,Lattice,Reward,Zoom,"Δ: D[0,4], l=0","Δ: B[0,2], l=2","Δ: B[0,2], l=4","Δ: B[0,2], l=6","Δ: B[0,2], l=8","Δ: B[0,2], l=10","Δ: B[0,2], l=12","Δ: B[0,2], l=14","Δ: B[0,2], l=16","Δ: B[0,2], l=18","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=0","Δ: L[0,0], l=2","Δ: L[0,0], l=2","Δ: L[0,0], l=2","Δ: L[0,0], l=2","Δ: L[0,0], l=2","Δ: L[0,0], l=2","Δ: L[0,0], l=2","Δ: L[0,0], l=4","Δ: L[0,0], l=4","Δ: L[0,0], l=4","Δ: L[0,0], l=4","Δ: L[0,0], l=4","Δ: L[0,0], l=4","Δ: L[0,0], l=6","Δ: L[0,0], l=6","Δ: L[0,0], l=6","Δ: L[0,0], l=6","Δ: L[0,0], l=6","Δ: L[0,0], l=8","Δ: L[0,0], l=8","Δ: L[0,0], l=8","Δ: L[0,0], l=8","Δ: L[0,0], l=10","Δ: L[0,0], l=10","Δ: L[0,0], l=10","Δ: L[0,0], l=12","Δ: L[0,0], l=12","λ²: D[0,4], l=0","λ²: B[0,2], l=2","λ²: B[0,2], l=4","λ²: B[0,2], l=6","λ²: B[0,2], l=8","λ²: B[0,2], l=10","λ²: B[0,2], l=12","λ²: B[0,2], l=14","λ²: B[0,2], l=16","λ²: B[0,2], l=18","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=0","λ²: L[0,0], l=2","λ²: L[0,0], l=2","λ²: L[0,0], l=2","λ²: L[0,0], l=2","λ²: L[0,0], l=2","λ²: L[0,0], l=2","λ²: L[0,0], l=2","λ²: L[0,0], l=4","λ²: L[0,0], l=4","λ²: L[0,0], l=4","λ²: L[0,0], l=4","λ²: L[0,0], l=4","λ²: L[0,0], l=4","λ²: L[0,0], l=6","λ²: L[0,0], l=6","λ²: L[0,0], l=6","λ²: L[0,0], l=6","λ²: L[0,0], l=6","λ²: L[0,0], l=8","λ²: L[0,0], l=8","λ²: L[0,0], l=8","λ²: L[0,0], l=8","λ²: L[0,0], l=10","λ²: L[0,0], l=10","λ²: L[0,0], l=10","λ²: L[0,0], l=12","λ²: L[0,0], l=12"
47,89.0,498.3729173703039,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.006719266395153,9.998726022898037,11.998098479531288,13.996374017170858,16.00331367987281,18.004519419672597,20.002684932243483,21.99943131092376,9.9952952778663,12.010373446915782,14.006045393773888,16.005781154108625,18.00367344058779,20.004243134882365,22.003767097218613,12.002550061061562,14.000557123817272,16.00443310372148,18.001854289978112,20.010418868921903,22.000363023974277,13.998590330944197,15.998104148388112,18.002100909864996,20.00557349831316,21.992139509727984,16.00149304886967,17.988936171089605,19.99570256961869,22.00090352771741,17.99401644954957,19.995841372420617,21.999458207715143,19.9994810685798,21.998755432188894,1.777987743793953,10.90820593223264,19.69304447051742,21.57546816897156,17.72101869683779,12.02864865447323,7.121040763356732,3.804399156723714,1.8740645360798376,0.8657202566106825,0.714978991087999,0.1901097028722223,0.0393252542656031,0.0069128054228194,0.0002882732220618,0.0002338937544017,0.0002338937544017,3.4683619056113005e-05,3.4461193420193434,0.7761630659106173,0.1403742046713488,0.023035563984428,0.0022435360349445,0.0004148479837059,0.0001003060595059,5.389655380098547,1.0890236376978386,0.1819227310615486,0.0267520085540132,0.0044584288847172,0.0007768157952954,5.364351401033602,1.0046965196256707,0.1584275331205643,0.0218495926451592,0.0021601132574361,4.111436305676076,0.726892961905093,0.1076647996638636,0.0144379918587499,2.648118674184611,0.4490280548199422,0.0642668902066352,1.504296465179317,0.245942097706881
46,89.0,496.85468510406486,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.006672684748912,9.99852587066442,11.997988610166823,13.996246296282528,16.003505170328157,18.004289853579436,20.00281828032325,21.99962207735552,9.995326053920248,12.01061236392755,14.006453652862437,16.00593459738402,18.00375031122313,20.00396125051013,22.0036582756293,12.00252505935077,14.000755018241472,16.00418509036031,18.001584816612045,20.01041903426602,22.000492460110685,13.998418308936046,15.99840352009108,18.00196025118055,20.005673373308248,21.99219870995487,16.00136908163581,17.988785597002252,19.99556698275921,22.000749555260803,17.99410016739551,19.99603081770649,21.99945605463148,19.99919982942896,21.998050133482003,1.7779939785024002,10.908212326053228,19.693029517678102,21.57546767843339,17.721009251818387,12.028675657146602,7.121067764653759,3.804404888823184,1.874068958950945,0.8657717228149086,0.7149614219468345,0.1900748961906489,0.0393819423949835,0.0069349451052167,0.0002757223780704,0.000236697918776,0.000236697918776,2.131459045059228e-05,3.4461028448105693,0.7761458975087651,0.14035683101144,0.023033466907645,0.0022746359728007,0.000420411722229,9.020982594436104e-05,5.389643001654639,1.089051250780553,0.1819155215658048,0.0267787249109612,0.00446394987803,0.0007887765210052,5.364315908880732,1.0046927026999086,0.1584300839371514,0.0218469524231416,0.0021154045859408,4.1114272554698506,0.7269036422988558,0.1077255535952668,0.014423061071086,2.6481340059242453,0.4490288164454621,0.064260232046433,1.504298917655407,0.2459225550191594
45,89.0,492.24498577408457,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.006626164969777,9.99832588603832,11.997869645758112,13.996118466162724,16.00369670196435,18.004060339984555,20.00295147975221,21.99961794260564,9.995356864111312,12.010783830304554,14.006002593911417,16.006087951050908,18.003900452336566,20.0036792602834,22.00347779513681,12.002500195933976,14.000953049205012,16.003934752745444,18.001315257270004,20.010419175326213,22.000400744208225,13.998246448420346,15.998702838967198,18.001819340637606,20.005834481131878,21.9921034952592,16.001245035490246,17.988635066386617,19.99543170146128,22.00086747751657,17.99466732078228,19.996220302420834,21.99945364532905,19.99878315002503,21.99771692919248,1.7780002027070838,10.908218718795007,19.69305117304013,21.575467182043127,17.721003830333593,12.028702657379425,7.121064697345858,3.8044106143307057,1.8740754693228276,0.865785139227046,0.7149453886724522,0.1900583757154253,0.0394068570021656,0.0069840501901277,0.0002631751191495,0.0002359025978842,0.0002359025978842,6.280619848303555e-06,3.446086327779861,0.7761287188865417,0.1403394586493851,0.0230263013290133,0.0022925631317972,0.0004259810761149,8.010921874290401e-05,5.3896306333398325,1.0890788555540818,0.1819082998298934,0.0268203435256051,0.0044694638294359,0.000802994267561,5.3642804126608885,1.0046912784808475,0.1583908217870724,0.0218443064365352,0.0021075329816398,4.111423281689958,0.7269143257391983,0.1077536835414465,0.014408118906665,2.6481493199520987,0.4490295679125031,0.0642535852456468,1.504271787000133,0.2459085099318927
44,89.0,491.1058959377376,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.006747582623523,9.998262367065715,11.9979269023621,13.996184801615165,16.003608965353095,18.004152419952376,20.002622565317,21.999625575855813,9.995662881939673,12.010636948739288,14.005889968003869,16.0058832905913,18.004063502012464,20.003545964063026,22.003409527438222,12.002720200768582,14.000980472214197,16.004094362487905,18.001128624621522,20.01047216642205,22.00035466122264,13.998408789533734,15.998484219404512,18.001682976261435,20.005754343893223,21.9920077953834,16.001067671690734,17.988751524440506,19.995693751778507,22.00071379226718,17.994577478982656,19.996235777108303,21.999604792717346,19.998794628691574,21.99748726538607,1.7779878083275016,10.908218052319144,19.69302833772996,21.575451238245822,17.72102027919138,12.028715598429304,7.1210480785404044,3.8044145236920497,1.8741037255624204,0.8657978832422591,0.7149787368072082,0.1900368783246707,0.0394528595153359,0.0069797490863737,0.0002663099321089,0.0002170563611933,0.0002170563611933,1.2152262244589567e-05,3.4461086622389123,0.7761281328525753,0.1403475529670561,0.0229944745564725,0.002286721395162,0.0004256414673922,0.0001046414792651,5.38964307255835,1.0890635957987906,0.181914433764367,0.0268190360188156,0.0044417414969956,0.0007823036125605,5.364305636022217,1.0047079152299063,0.1583763037479763,0.0218282206583957,0.0021043329296178,4.111453950123341,0.7269314249020973,0.107745373624872,0.0144224913716422,2.6481371006467995,0.4489878220424643,0.0642627180572602,1.5042771538678206,0.2459209021264804
43,89.0,490.7339603414512,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.006455694280353,9.998137939705234,11.997803212998576,13.995996684156122,16.0036675293167,18.00388438066922,20.00251333267673,21.99974213209755,9.99541030181218,12.010588495609646,14.005719358283445,16.00617626310794,18.003802499999747,20.00314517199701,22.00332206941833,12.002646556203723,14.00098580461163,16.00389083386276,18.00101887190875,20.01033230714076,22.00012840065928,13.998338009096017,15.998577420446106,18.001719054641764,20.005798131370483,21.992321772232277,16.001005578609597,17.988762567619798,19.99619961794918,22.00038955952499,17.99442649970386,19.99627770049044,22.00020378773535,19.99887667960757,21.997765273556123,1.7779607031583544,10.908257179156546,19.693005654522413,21.57545246054102,17.7210238653093,12.028730748198322,7.121031497571682,3.804409470698277,1.874129515507248,0.8658201928796269,0.7150160352769752,0.1900303741143998,0.0394335576552642,0.0069434665204075,0.0002943712070323,0.000238217830489,0.0001955041456241,2.0912878300778625e-05,3.446109416170062,0.7761096044093729,0.140355292831886,0.0229838667549085,0.0023123564536321,0.0004307731907887,8.055832729881698e-05,5.389692492370091,1.0890772308655383,0.1818865087421971,0.0268107465658009,0.0044297653458086,0.0007707140684989,5.364325372829452,1.00472986523397,0.1583749965146534,0.0218479181138242,0.0021146418241142,4.111445636715704,0.7269439703958639,0.1077410901927403,0.0144248321987561,2.6480405769641755,0.4489973206745489,0.0642526335500183,1.5043051806191003,0.2459165600883053
42,89.0,486.3638838480511,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.006685477887254,9.99827241369607,11.99801630430608,13.996069938442991,16.00358632772834,18.004062322844266,20.002568013227854,21.99956462162777,9.995676838541964,12.010935477996355,14.005522027814177,16.006058968568055,18.00402142577198,20.00334789551465,22.00328149946872,12.002700465599638,14.001253018981776,16.00384742607165,18.001289882510644,20.010635206286462,22.000311804170625,13.998631948340387,15.998712986651263,18.00160627911594,20.00538652604589,21.992176063600176,16.000762418783868,17.9889381922951,19.996549861727708,22.00030110677585,17.994221342518514,19.99658130067804,22.00033894621177,19.998799338440868,21.99792970990949,1.7779839630237353,10.908267699994598,19.693000986260174,21.5754368352272,17.721008600167274,12.028724664540627,7.121017261277316,3.804404331782835,1.8741277258705569,0.8657946373681001,0.715006646848384,0.1900063163883221,0.0394453057839279,0.0069182087705147,0.0002999372537639,0.0002644965551221,0.0002138163127023,1.1083977084390876e-05,3.446099161628445,0.7761125118473671,0.1403366605895789,0.0229657355188843,0.0023345706832232,0.0004126832305339,8.753843832036549e-05,5.389691465101512,1.089072889430199,0.1818755976416717,0.0268401654561281,0.0044154097930906,0.0007737567196856,5.364354750918611,1.0047148841038134,0.1583969046953298,0.021842127169641,0.002113131960501,4.111413683538401,0.7269454446910246,0.1077313547689482,0.0144298861572485,2.648033343939126,0.4490165252722455,0.0642379066550175,1.5043353704036049,0.2459030127681629
41,89.0,485.7048059259957,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.006601628731724,9.9981784732976,11.997804713069415,13.995997490952114,16.004005606417813,18.004067783893067,20.00280852537689,21.999978537643397,9.995497698453256,12.010705312937237,14.00533857766406,16.006074437164422,18.0041997694238,20.00352555902532,22.00308350698445,12.002610054295886,14.00133201037608,16.003764772840107,18.0014421609211,20.010590295189008,22.00008417874323,13.998640816848326,15.998551058350332,18.001033619506472,20.005497126571218,21.99213905383856,16.00083734655384,17.98863885854204,19.99665289946129,22.00069574803665,17.994588033811336,19.99662916719963,22.00026603398059,19.99809076665965,21.99837716860288,1.7779537818149236,10.908313224433888,19.693011874105203,21.575411975754168,17.72100617717013,12.028760713080356,7.121032216451307,3.8044134254306576,1.874119536785822,0.8657619100455962,0.7149857482027148,0.1900152142582629,0.0394585993690719,0.0069030124521677,0.0002643168232795,0.0002643168232795,0.0002396560688335,7.184370636723994e-06,3.4460722204488863,0.7761355621084325,0.1403626476001026,0.0229359153763097,0.0023424622600535,0.0003834706916732,9.141983465498384e-05,5.389697795611564,1.0890648523212338,0.1818723958400112,0.0268062663413256,0.004444545479287,0.0007921393888886,5.36431677648054,1.0046953153622682,0.1584007906473871,0.0218621459123588,0.0020618354921984,4.1114445312654615,0.726966031833507,0.1077510334538683,0.0144294783433149,2.6480304627938533,0.4490086533640167,0.0642136056461374,1.504320653194135,0.2459142964431108
29,27.0,474.8883615169392,3.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.005510124604628,9.999090243822032,12.000816600698226,13.988211303335804,16.005411450848538,17.999163940746122,19.993578828344223,21.993829839204693,9.998416809899703,12.002459970474746,13.999792738473229,16.01014073443489,18.0036525102266,20.000351793917275,22.002701846103086,11.99822414299926,14.009047933893877,16.009743233533378,18.000164618491066,20.004309584641263,21.997669968562604,14.004252936060915,16.00004527937637,18.004280175302103,20.007096667316446,22.004411462593048,15.998384166146794,18.002547936302765,19.99711872168508,22.006783073123344,18.000125403221265,20.002867982610223,22.000148063916644,19.993107717393407,22.003198831869184,1.7786674528131905,10.908492881627906,19.69188121994318,21.575672895136137,17.720665086113275,12.02828084314537,7.122002642255923,3.803843039529267,1.8742014231418904,0.8655068994249432,0.7141203694503447,0.1899745897692824,0.0393560408918295,0.0061819881408911,0.0017244487030147,1.6973828862637317e-05,1.6973828862637317e-05,4.978642120242158e-06,3.445912704463242,0.7760608896661991,0.1408486869901581,0.0220812756225317,0.0021762384333271,0.0008113906390641,0.0002180754930654,5.390960086668087,1.089188804935822,0.1810396122091271,0.0271181321077378,0.0044012463827979,0.0007978361976979,5.3649492700179735,1.0044313910013114,0.1572412353832765,0.022000625991104,0.0021741093663234,4.112834315481702,0.7274201910792949,0.108903039572937,0.014042665203531,2.648144391048923,0.4472770162116076,0.0653373135024917,1.5054844823065758,0.2467185395496499
40,89.0,472.51974260139264,2.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.005848693128463,9.99744302845681,11.99702029346577,13.997503836030464,16.004257239586572,18.002873599872906,20.00247166906161,21.99990595542488,9.995780209811215,12.0111982115579,14.00244935002939,16.004721568437574,18.003357116813856,20.00353898617601,22.002433492034115,12.002444858378547,14.000509762000664,16.003788970098256,18.000758419074423,20.008967531996355,21.999509788515883,13.998345086036224,15.9979992734885,18.00206974522155,20.00254658941416,21.992745967298603,16.001671889311112,17.98885628440772,19.996259891524964,21.99910652942017,17.99453852675041,19.995495039387546,21.999097065855903,19.99878358720419,21.997475415852303,1.7780304289036002,10.90839671345048,19.69305839402216,21.57530147716787,17.720976870430075,12.028738166026995,7.121153904692074,3.8043444402579984,1.874046432673972,0.8656465395092987,0.7149006745412085,0.1900979011390899,0.0393616803137888,0.0067545952555958,0.0002350598050859,0.0002350598050859,0.0002350598050859,0.0001153473821578,3.446001213369553,0.7761175923630349,0.1404151600023391,0.0229854758053165,0.0024450484354059,0.0004296560799402,3.402976556474274e-05,5.389690430577342,1.089005819376942,0.1816975786817294,0.0268363007940769,0.0042753080631984,0.0007900456338632,5.364388944699183,1.0047194024461297,0.1584947810798582,0.021817260305593,0.0022425386642861,4.111474020513708,0.726910690478526,0.1081239525031313,0.0143692082613329,2.648206219970729,0.4491751665793201,0.0643555219637791,1.504356124917215,0.2458763301389875
28,27.0,472.0608784051712,3.0,8.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,25.0,8.00552668787412,9.999191112701215,12.000590037262135,13.987945658602197,16.00548217984944,17.99919744776804,19.99363403469685,21.99395617593277,9.998272075798894,12.002468288480546,13.999717208886032,16.01003575024631,18.003469244041337,20.000280511627203,22.00267143057369,11.998197769335976,14.009062583866848,16.009840822346067,18.00011851367242,20.004210902979924,21.99771383016174,14.003956698797388,16.000234410329696,18.004148463973067,20.00725804431606,22.00453454126429,15.998393030786952,18.00238707675074,19.99695290813715,22.006772913550492,17.99996919801423,20.003082457123305,22.00008767670563,19.99296018451906,22.003304726516877,1.778658762735407,10.908482863396731,19.69189790877926,21.57566874588457,17.720650072742494,12.028285412854723,7.121977715434676,3.8038675851060257,1.8741939280995812,0.8655080824810414,0.7141373167482754,0.1899743642285939,0.0393630231536195,0.0061882953313745,0.0017194938973193,1.100775755125288e-05,1.100775755125288e-05,1.100775755125288e-05,3.445923581656011,0.7760599987891492,0.1408365405609062,0.0220998705328292,0.0021961828447949,0.0008152953018939,0.0001960988181957,5.390973603123402,1.0891884253928106,0.1810697283029117,0.0270968942267926,0.0043921389461446,0.0007749589933095,5.364938664421301,1.004413602304158,0.1572575637680931,0.0220035888733797,0.002185307905342,4.11280213863142,0.7274081987624342,0.1089151480893395,0.014024816557028,2.648168097122676,0.4472680131531647,0.0653347003214013,1.505500099100011,0.2467193949374693
